start, end, subpop
978212.0, 978598.0, 0.5085
978598.0, 980195.0, 0.515
980195.0, 988411.0, 0.5115
988411.0, 994655.0, 0.509
994655.0, 1001454.0, 0.5125
1001454.0, 1014766.0, 0.513
1014766.0, 1020782.0, 0.6235
1020782.0, 1025544.0, 0.6235
1025544.0, 1033648.0, 0.623
1033648.0, 1035222.0, 0.622
1035222.0, 1044678.0, 0.62
1044678.0, 1048994.0, 0.62
1048994.0, 1052517.0, 0.5665
1052517.0, 1059390.0, 0.5665
1059390.0, 1060147.0, 0.566
1060147.0, 1062760.0, 0.5555
1062760.0, 1066744.0, 0.5555
1066744.0, 1066825.0, 0.5555
1066825.0, 1067967.0, 0.552
1067967.0, 1070316.0, 0.552
1070316.0, 1074287.0, 0.5225
1074287.0, 1096444.0, 0.5305
1096444.0, 1098499.0, 0.5365
1098499.0, 1099898.0, 0.5395
1099898.0, 1107164.0, 0.5395
1107164.0, 1110316.0, 0.556
1110316.0, 1120808.0, 0.5535
1120808.0, 1126773.0, 0.5535
1126773.0, 1126788.0, 0.553
1126788.0, 1143014.0, 0.557
1143014.0, 1144243.0, 0.562
1144243.0, 1146429.0, 0.562
1146429.0, 1147563.0, 0.562
1147563.0, 1147842.0, 0.562
1147842.0, 1152722.0, 0.562
1152722.0, 1154879.0, 0.562
1154879.0, 1156904.0, 0.5615
1156904.0, 1157305.0, 0.5615
1157305.0, 1157598.0, 0.5615
1157598.0, 1161780.0, 0.563
1161780.0, 1167492.0, 0.559
1167492.0, 1175514.0, 0.559
1175514.0, 1176311.0, 0.559
1176311.0, 1179444.0, 0.56
1179444.0, 1182216.0, 0.5685
1182216.0, 1189800.0, 0.5685
1189800.0, 1198406.0, 0.568
1198406.0, 1204787.0, 0.568
1204787.0, 1210120.0, 0.5595
1210120.0, 1211124.0, 0.5595
1211124.0, 1212351.0, 0.5595
1212351.0, 1214064.0, 0.566
1214064.0, 1223781.0, 0.582
1223781.0, 1224433.0, 0.582
1224433.0, 1234032.0, 0.594
1234032.0, 1241407.0, 0.594
1241407.0, 1246473.0, 0.6
1246473.0, 1247931.0, 0.6
1247931.0, 1252122.0, 0.592
1252122.0, 1271123.0, 0.605
1271123.0, 1275742.0, 0.6055
1275742.0, 1283991.0, 0.6055
1283991.0, 1286087.0, 0.6055
1286087.0, 1288698.0, 0.6055
1288698.0, 1289383.0, 0.6055
1289383.0, 1290288.0, 0.4785
1290288.0, 1292081.0, 0.4785
1292081.0, 1300224.0, 0.479
1300224.0, 1302119.0, 0.479
1302119.0, 1307686.0, 0.479
1307686.0, 1313126.0, 0.479
1313126.0, 1313855.0, 0.4845
1313855.0, 1314430.0, 0.4845
1314430.0, 1315347.0, 0.4735
1315347.0, 1323491.0, 0.4735
1323491.0, 1332625.0, 0.4735
1332625.0, 1333317.0, 0.4735
1333317.0, 1335923.0, 0.4735
1335923.0, 1337470.0, 0.472
1337470.0, 1339090.0, 0.472
1339090.0, 1349081.0, 0.472
1349081.0, 1355711.0, 0.4725
1355711.0, 1355874.0, 0.4725
1355874.0, 1360860.0, 0.4725
1360860.0, 1363265.0, 0.473
1363265.0, 1367006.0, 0.473
1367006.0, 1371343.0, 0.4735
1371343.0, 1372965.0, 0.4745
1372965.0, 1378466.0, 0.487
1378466.0, 1396034.0, 0.487
1396034.0, 1399064.0, 0.4855
1399064.0, 1400880.0, 0.5205
1400880.0, 1405802.0, 0.5205
1405802.0, 1407925.0, 0.5205
1407925.0, 1412850.0, 0.5205
1412850.0, 1427294.0, 0.52
1427294.0, 1428864.0, 0.518
1428864.0, 1436233.0, 0.518
1436233.0, 1442546.0, 0.5195
1442546.0, 1449039.0, 0.5235
1449039.0, 1450546.0, 0.52
1450546.0, 1464231.0, 0.52
1464231.0, 1470163.0, 0.5195
1470163.0, 1473778.0, 0.52
1473778.0, 1478327.0, 0.5205
1478327.0, 1481048.0, 0.5205
1481048.0, 1483316.0, 0.5205
1483316.0, 1484955.0, 0.5205
1484955.0, 1503530.0, 0.5215
1503530.0, 1503654.0, 0.519
1503654.0, 1503783.0, 0.519
1503783.0, 1511477.0, 0.525
1511477.0, 1516909.0, 0.522
1516909.0, 1519785.0, 0.514
1519785.0, 1521911.0, 0.514
1521911.0, 1526569.0, 0.5145
1526569.0, 1544717.0, 0.5145
1544717.0, 1546386.0, 0.5145
1546386.0, 1565071.0, 0.512
1565071.0, 1567199.0, 0.51
1567199.0, 1572137.0, 0.51
1572137.0, 1577807.0, 0.51
1577807.0, 1580952.0, 0.512
1580952.0, 1596590.0, 0.5115
1596590.0, 1597236.0, 0.513
1597236.0, 1605699.0, 0.5155
1605699.0, 1606689.0, 0.5165
1606689.0, 1606696.0, 0.5165
1606696.0, 1606773.0, 0.5165
1606773.0, 1609974.0, 0.519
1609974.0, 1613070.0, 0.5195
1613070.0, 1613379.0, 0.5195
1613379.0, 1616289.0, 0.5195
1616289.0, 1617418.0, 0.5195
