start,heights
0,171.0
2920.0,171.0
3800.0,171.0
4769.0,171.0
10988.0,171.0
12014.0,171.0
15527.0,171.0
16006.0,171.0
16302.0,171.0
16734.0,171.0
17096.0,171.0
20574.0,171.0
22126.0,171.0
25409.0,171.0
25769.0,171.0
27368.0,171.0
31635.0,171.0
31977.0,171.0
33942.0,171.0
37983.0,171.0
40909.0,171.0
41270.0,171.0
43333.0,171.0
44130.0,171.0
47990.0,171.0
51061.0,171.0
51779.0,171.0
52220.0,171.0
52443.0,171.0
55083.0,171.0
55787.0,171.0
57915.0,171.0
58399.0,171.0
61945.0,171.0
62277.0,171.0
63552.0,171.0
64260.0,171.0
64646.0,171.0
65032.0,171.0
67676.0,171.0
68398.0,171.0
73483.0,171.0
76195.0,171.0
80917.0,171.0
81108.0,171.0
86472.0,171.0
87466.0,171.0
87609.0,171.0
90353.0,171.0
93029.0,171.0
95993.0,171.0
97222.0,171.0
98175.0,171.0
99057.0,171.0
106244.0,171.0
106771.0,171.0
108750.0,171.0
109371.0,171.0
113380.0,171.0
119679.0,171.0
120134.0,171.0
125693.0,171.0
128446.0,171.0
137395.0,171.0
138980.0,171.0
143186.0,171.0
143312.0,171.0
143593.0,171.0
146015.0,171.0
150790.0,171.0
151403.0,171.0
155209.0,171.0
161484.0,171.0
162131.0,171.0
164723.0,171.0
166107.0,171.0
168752.0,171.0
169217.0,171.0
170618.0,171.0
173534.0,171.0
176258.0,171.0
180013.0,171.0
180384.0,171.0
181190.0,171.0
185621.0,171.0
186256.0,171.0
186392.0,171.0
190149.0,171.0
192630.0,171.0
202127.0,171.0
202429.0,171.0
208348.0,171.0
224113.0,171.0
225728.0,171.0
226724.0,171.0
228112.0,171.0
228882.0,171.0
233222.0,171.0
234777.0,171.0
236260.0,171.0
237171.0,171.0
245563.0,171.0
251133.0,171.0
254989.0,171.0
258819.0,171.0
261604.0,171.0
265731.0,171.0
266282.0,171.0
268040.0,171.0
273249.0,171.0
273490.0,171.0
276293.0,171.0
276448.0,171.0
276671.0,171.0
277267.0,171.0
277802.0,171.0
278924.0,171.0
279446.0,171.0
280748.0,171.0
283207.0,171.0
284978.0,171.0
286027.0,171.0
286891.0,171.0
288911.0,171.0
289919.0,171.0
289995.0,171.0
293122.0,171.0
293605.0,171.0
293840.0,171.0
296023.0,171.0
296880.0,171.0
299573.0,171.0
300316.0,171.0
301570.0,171.0
303842.0,171.0
303883.0,171.0
304206.0,171.0
307066.0,171.0
308021.0,171.0
308202.0,171.0
308249.0,171.0
312303.0,171.0
317089.0,171.0
322355.0,171.0
322573.0,171.0
323884.0,171.0
324538.0,171.0
328141.0,171.0
335793.0,171.0
336512.0,171.0
340029.0,171.0
342763.0,171.0
350359.0,171.0
351510.0,171.0
355822.0,171.0
365454.0,171.0
366156.0,171.0
367959.0,171.0
375596.0,171.0
379290.0,171.0
380888.0,171.0
383048.0,171.0
389177.0,171.0
391761.0,171.0
391812.0,171.0
392086.0,171.0
392190.0,171.0
395619.0,171.0
396544.0,171.0
398596.0,171.0
399354.0,171.0
405769.0,171.0
406296.0,171.0
409524.0,171.0
417557.0,171.0
419997.0,171.0
425297.0,171.0
426449.0,171.0
430122.0,171.0
430218.0,171.0
430455.0,171.0
433122.0,171.0
435431.0,171.0
437114.0,171.0
438662.0,171.0
441446.0,171.0
448844.0,171.0
450941.0,171.0
451881.0,171.0
452419.0,171.0
452724.0,171.0
455084.0,171.0
465976.0,171.0
467427.0,171.0
469451.0,171.0
470415.0,171.0
474833.0,171.0
474878.0,171.0
476694.0,69.0
480273.0,69.0
482451.0,69.0
492617.0,69.0
493567.0,69.0
494166.0,69.0
498897.0,69.0
500550.0,69.0
500591.0,69.0
501895.0,69.0
502677.0,69.0
503075.0,69.0
503316.0,69.0
503839.0,69.0
504647.0,69.0
505194.0,69.0
510749.0,69.0
512142.0,69.0
514516.0,171.0
520995.0,171.0
521275.0,171.0
521515.0,171.0
521815.0,171.0
522073.0,171.0
522267.0,171.0
522898.0,171.0
526534.0,171.0
526879.0,171.0
529666.0,171.0
530620.0,171.0
532308.0,171.0
534733.0,171.0
539329.0,171.0
539577.0,171.0
542858.0,171.0
544110.0,171.0
546901.0,171.0
547537.0,171.0
547646.0,171.0
550957.0,171.0
553322.0,171.0
559691.0,171.0
561381.0,171.0
563338.0,171.0
566541.0,171.0
568372.0,171.0
568434.0,171.0
572155.0,171.0
575332.0,171.0
577624.0,171.0
578772.0,171.0
579686.0,171.0
581824.0,171.0
584848.0,171.0
586285.0,171.0
587364.0,171.0
591428.0,171.0
591895.0,171.0
594713.0,171.0
596243.0,171.0
598146.0,171.0
599596.0,171.0
612367.0,171.0
613236.0,171.0
614091.0,171.0
614515.0,171.0
618040.0,171.0
618876.0,171.0
619447.0,171.0
622585.0,171.0
622815.0,171.0
625425.0,171.0
626965.0,171.0
628838.0,171.0
632350.0,171.0
635557.0,171.0
635732.0,171.0
638567.0,171.0
643034.0,171.0
649946.0,171.0
652733.0,171.0
653103.0,171.0
654947.0,171.0
655575.0,171.0
657052.0,171.0
657256.0,171.0
659209.0,171.0
664456.0,171.0
667232.0,171.0
669643.0,171.0
672592.0,171.0
675814.0,171.0
676332.0,171.0
679108.0,171.0
679494.0,171.0
679515.0,171.0
680191.0,171.0
682199.0,171.0
683516.0,171.0
685336.0,171.0
689705.0,171.0
693075.0,171.0
695233.0,171.0
697319.0,171.0
700312.0,171.0
705534.0,171.0
712143.0,171.0
712269.0,171.0
721855.0,171.0
723662.0,171.0
727117.0,171.0
729660.0,171.0
731221.0,171.0
731389.0,171.0
735229.0,171.0
739385.0,171.0
740603.0,171.0
741178.0,171.0
745745.0,171.0
755843.0,171.0
763515.0,171.0
766848.0,171.0
768014.0,171.0
771375.0,171.0
776702.0,171.0
779095.0,171.0
780417.0,171.0
785821.0,171.0
786067.0,171.0
787532.0,171.0
790198.0,171.0
793899.0,171.0
798447.0,171.0
802507.0,171.0
803310.0,171.0
809374.0,171.0
812627.0,171.0
814324.0,171.0
817590.0,171.0
818418.0,171.0
821180.0,171.0
823039.0,171.0
824132.0,171.0
827684.0,171.0
827769.0,171.0
829131.0,171.0
833173.0,171.0
835637.0,171.0
836663.0,171.0
837232.0,171.0
837796.0,171.0
839125.0,171.0
842705.0,171.0
845277.0,171.0
849869.0,171.0
854626.0,171.0
855794.0,171.0
864411.0,171.0
867076.0,171.0
867985.0,171.0
868651.0,171.0
871785.0,171.0
876271.0,171.0
880692.0,171.0
884791.0,171.0
885879.0,171.0
886001.0,171.0
888003.0,171.0
