start,heights
0,548917.4726748319
2920.0,548917.4726748319
3800.0,548917.4726748319
4769.0,548917.4726748319
5326.0,499164.86561165535
8751.0,499164.86561165535
8881.0,499164.86561165535
9348.0,499164.86561165535
10988.0,499164.86561165535
12014.0,499164.86561165535
14139.0,499164.86561165535
15527.0,499164.86561165535
15564.0,492748.01877902367
16006.0,492748.01877902367
16302.0,492748.01877902367
16635.0,492748.01877902367
16734.0,492748.01877902367
17096.0,492748.01877902367
17236.0,817409.7631967607
18656.0,817409.7631967607
20574.0,817409.7631967607
21090.0,662737.1106833272
21715.0,662737.1106833272
22126.0,662737.1106833272
23210.0,392970.81338262
25409.0,392970.81338262
25769.0,392970.81338262
27368.0,392970.81338262
31635.0,392970.81338262
31977.0,392970.81338262
33942.0,392970.81338262
34867.0,392970.81338262
35758.0,392970.81338262
37983.0,392970.81338262
40195.0,392970.81338262
40909.0,392970.81338262
41270.0,392970.81338262
43333.0,392970.81338262
43445.0,499164.86561165535
44130.0,499164.86561165535
47990.0,499164.86561165535
51061.0,499164.86561165535
51779.0,499164.86561165535
52220.0,499164.86561165535
52443.0,499164.86561165535
55083.0,499164.86561165535
55763.0,238785.99859829416
55787.0,238785.99859829416
57915.0,238785.99859829416
58399.0,238785.99859829416
58536.0,238785.99859829416
61945.0,238785.99859829416
62277.0,238785.99859829416
62476.0,238785.99859829416
63552.0,238785.99859829416
64260.0,238785.99859829416
64646.0,238785.99859829416
65032.0,238785.99859829416
67676.0,238785.99859829416
68398.0,238785.99859829416
73483.0,238785.99859829416
73738.0,238785.99859829416
74378.0,238785.99859829416
75253.0,238785.99859829416
76195.0,238785.99859829416
80917.0,238785.99859829416
81108.0,238785.99859829416
81110.0,577652.3511484799
83276.0,238785.99859829416
86472.0,238785.99859829416
86531.0,208116.7823554073
87323.0,577652.3511484799
87466.0,577652.3511484799
87609.0,577652.3511484799
88511.0,577652.3511484799
90353.0,577652.3511484799
92923.0,577652.3511484799
93029.0,577652.3511484799
95993.0,577652.3511484799
96538.0,577652.3511484799
97222.0,577652.3511484799
98175.0,577652.3511484799
99057.0,577652.3511484799
100122.0,577652.3511484799
104221.0,577652.3511484799
106244.0,577652.3511484799
106771.0,577652.3511484799
108750.0,577652.3511484799
109371.0,577652.3511484799
111076.0,577652.3511484799
113380.0,577652.3511484799
119679.0,577652.3511484799
120088.0,577652.3511484799
120134.0,577652.3511484799
125693.0,577652.3511484799
126951.0,577652.3511484799
128446.0,577652.3511484799
128766.0,577652.3511484799
128902.0,392970.81338262
130925.0,392970.81338262
136947.0,548917.4726748319
137395.0,548917.4726748319
138635.0,566944.4916665145
138980.0,566944.4916665145
141980.0,566944.4916665145
143186.0,566944.4916665145
143312.0,566944.4916665145
143593.0,566944.4916665145
144108.0,392970.81338262
144942.0,548917.4726748319
146015.0,548917.4726748319
146654.0,566944.4916665145
146766.0,566944.4916665145
147869.0,548917.4726748319
147922.0,566944.4916665145
150215.0,420596.0042112766
150790.0,420596.0042112766
151403.0,420596.0042112766
151823.0,232802.945372151
155209.0,232802.945372151
158526.0,566944.4916665145
161484.0,566944.4916665145
162131.0,566944.4916665145
164370.0,566944.4916665145
164723.0,566944.4916665145
165471.0,566944.4916665145
165750.0,579232.1141489737
166107.0,579232.1141489737
166334.0,579232.1141489737
167971.0,412537.7636264008
168752.0,412537.7636264008
169217.0,412537.7636264008
170618.0,412537.7636264008
172733.0,412537.7636264008
173534.0,412537.7636264008
176258.0,412537.7636264008
180013.0,412537.7636264008
180384.0,412537.7636264008
181190.0,412537.7636264008
185621.0,412537.7636264008
186142.0,412537.7636264008
186256.0,412537.7636264008
186392.0,412537.7636264008
187015.0,579232.1141489737
187813.0,412537.7636264008
188436.0,342926.90171674144
188657.0,412537.7636264008
190149.0,412537.7636264008
191309.0,579232.1141489737
191947.0,342926.90171674144
192630.0,342926.90171674144
193480.0,412537.7636264008
200366.0,579232.1141489737
200516.0,579232.1141489737
202127.0,579232.1141489737
202429.0,579232.1141489737
202460.0,579232.1141489737
202835.0,215274.50235351425
206023.0,319779.3402613992
208348.0,319779.3402613992
