"msp_times_mean","msp_times_se","mspS_times_mean","mspS_times_se","TSslim_times_mean","TSslim_times_se","TStotal_times_mean","TStotal_times_se","noTS_times_mean","noTS_times_se"
0.346,0.00339934634239519,0.342,0.00133333333333333,0.668,0.00416333199893227,1.056,0.00718021974284601,0.123,0.00213437474581095
0.346,0.00371184290855334,0.341,0.00233333333333333,1.204,0.00520683311727111,1.586,0.00618241233033048,0.681,0.00706320670013902
0.367,0.00448454134902457,0.346,0.00163299316185544,2.69,0.0111554670204543,3.085,0.0113773654439173,13.187,0.374192612314983
0.726,0.00635959467611298,0.489,0.00406885187191124,7.955,0.0129314431608473,8.57,0.0122927259430572,475.869,2.73383062549399
12.605,0.0509302355078876,8.045,0.0505140244552605,74.506,0.155750512751074,78.112,0.156111071569787,14603.474,313.984502887926
1600.58,10.926130147495,1164.132,4.70954722994803,1664.739,2.34843562587714,1697.267,2.34593267403632,NA,NA
